name2	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds
AGRN	NM_198576	chr1	+	1020119	1056114	1020172	1054981	36	1020119,1022200,1035276,1040664,1041172,1041477,1041955,1043238,1043537,1043822,1044108,1044333,1045160,1045358,1045732,1045963,1046159,1046396,1046819,1047326,1047572,1047775,1048011,1048866,1049235,1049565,1049902,1050232,1050426,1050725,1051252,1051452,1051727,1053752,1054447,1054823,	1020373,1022462,1035324,1040880,1041397,1041702,1042162,1043457,1043732,1044023,1044257,1044439,1045277,1045523,1045876,1046088,1046265,1046735,1046957,1047454,1047687,1047895,1048365,1049059,1049451,1049795,1050037,1050329,1050591,1050837,1051369,1051645,1051815,1053977,1054551,1056114,
RNF223	NM_001205252	chr1	-	1070966	1074306	1071816	1072566	2	1070966,1074015,	1072575,1074306,
C1orf159	NM_001330306	chr1	-	1081822	1116089	1082892	1091543	12	1081822,1083914,1084480,1085877,1087138,1087501,1090352,1090875,1091471,1091990,1115021,1116059,	1082987,1084383,1084506,1086012,1087204,1087597,1090428,1090983,1091565,1092103,1115075,1116089,
C1orf159	NM_017891	chr1	-	1081822	1116089	1082892	1091543	10	1081822,1084352,1084480,1085877,1087138,1087501,1090352,1091471,1091990,1116059,	1082987,1084383,1084506,1086012,1087204,1087597,1090428,1091565,1092103,1116089,
TTLL10	NM_001130045	chr1	+	1173879	1197935	1179215	1197847	16	1173879,1174284,1174423,1179188,1179656,1180033,1180482,1180730,1181740,1182360,1182875,1183919,1184968,1196599,1197092,1197437,	1173926,1174321,1174489,1179333,1179737,1180340,1180601,1180860,1181815,1182446,1183047,1184091,1185109,1196716,1197186,1197935,
TTLL10	NM_153254	chr1	+	1179680	1185863	1180053	1185142	9	1179680,1180033,1180482,1180730,1181740,1182360,1182875,1183919,1184968,	1179853,1180340,1180601,1180860,1181815,1182446,1183047,1184091,1185863,
TNFRSF18	NM_004195	chr1	-	1203507	1206592	1203843	1206571	5	1203507,1204033,1204398,1205369,1206384,	1203968,1204236,1204486,1205492,1206592,
TNFRSF18	NM_148901	chr1	-	1203507	1206592	1203590	1206571	4	1203507,1204398,1205369,1206384,	1203960,1204486,1205492,1206592,
TNFRSF18	NM_148902	chr1	-	1203507	1206592	1203843	1206571	5	1203507,1204054,1204398,1205369,1206384,	1203968,1204236,1204486,1205492,1206592,
TNFRSF4	NM_003327	chr1	-	1211339	1214153	1211554	1214127	7	1211339,1211703,1211941,1212637,1212991,1213662,1213982,	1211625,1211832,1212138,1212704,1213093,1213785,1214153,
SDF4	NM_016547	chr1	-	1216907	1232067	1217669	1228793	7	1216907,1218457,1218768,1223243,1223831,1228467,1231891,	1217804,1218633,1218927,1223357,1223968,1228946,1232067,
SDF4	NM_016176	chr1	-	1216930	1232001	1217511	1228793	7	1216930,1218457,1218768,1223243,1223831,1228467,1231891,	1217688,1218633,1218927,1223357,1223968,1228946,1232001,
B3GALT6	NM_080605	chr1	+	1232236	1235040	1232278	1233268	1	1232236,	1235040,
C1QTNF12	NM_001014980	chr1	-	1242452	1246722	1242547	1246690	8	1242452,1242834,1243061,1243443,1243953,1244190,1244380,1246513,	1242646,1242913,1243152,1243552,1244105,1244275,1244497,1246722,
UBE2J2	NM_058167	chr1	-	1253911	1273854	1255202	1267992	7	1253911,1256044,1256991,1257207,1263345,1267861,1273665,	1255487,1256125,1257130,1257310,1263386,1267992,1273854,
UBE2J2	NM_194315	chr1	-	1253911	1273854	1255202	1267992	8	1253911,1256044,1256991,1257207,1263345,1264782,1267861,1273665,	1255487,1256125,1257130,1257310,1263386,1264830,1267992,1273854,
UBE2J2	NM_194457	chr1	-	1253911	1273854	1255202	1263361	6	1253911,1256044,1256991,1257207,1263345,1273665,	1255487,1256125,1257130,1257310,1263386,1273854,
UBE2J2	NM_194458	chr1	-	1253911	1273854	1255202	1263361	7	1253911,1256044,1256991,1257207,1263345,1267732,1273665,	1255487,1256125,1257130,1257310,1263386,1267992,1273854,
SCNN1D	NM_001130413	chr1	+	1280435	1292025	1280661	1291610	18	1280435,1281225,1281410,1282241,1283977,1285570,1285925,1286767,1287108,1287507,1287672,1287938,1290270,1290476,1290636,1290894,1291064,1291253,	1280666,1281297,1281610,1282315,1284090,1285664,1286278,1286975,1287299,1287596,1287836,1288037,1290388,1290555,1290694,1290953,1291140,1292025,
ACAP3	NM_030649	chr1	-	1292390	1307930	1293563	1307815	24	1292390,1293822,1294089,1294401,1294717,1295446,1295735,1296014,1296210,1296424,1297821,1298012,1298369,1298566,1299344,1299830,1299972,1300157,1300508,1301987,1302921,1303161,1304085,1307768,	1293708,1293933,1294199,1294628,1294816,1295554,1295938,1296109,1296280,1296633,1297933,1298113,1298421,1298679,1299356,1299905,1300068,1300202,1300692,1302046,1302975,1303281,1304143,1307930,
PUSL1	NM_153339	chr1	+	1308596	1311677	1308643	1311379	8	1308596,1308914,1309085,1309453,1309680,1310633,1310908,1311329,	1308720,1308972,1309273,1309603,1309851,1310688,1311071,1311677,
INTS11	NM_001256456	chr1	-	1311584	1324687	1311858	1321953	19	1311584,1312017,1312225,1312439,1312592,1312786,1313034,1313508,1313731,1314300,1314823,1315403,1315519,1319295,1320455,1320995,1321907,1322891,1324580,	1311924,1312147,1312368,1312501,1312700,1312949,1313124,1313592,1313921,1314365,1314962,1315438,1315618,1319524,1320529,1321093,1321984,1323287,1324687,
INTS11	NM_001256460	chr1	-	1311584	1324687	1311858	1321034	18	1311584,1312017,1312225,1312439,1312592,1312786,1313034,1313508,1313731,1314300,1314823,1315403,1315519,1319295,1320455,1320995,1323180,1324580,	1311924,1312147,1312368,1312501,1312700,1312949,1313124,1313592,1313921,1314365,1314962,1315438,1315618,1319524,1320529,1321093,1323287,1324687,
INTS11	NM_001256462	chr1	-	1311584	1324687	1311858	1324608	15	1311584,1312017,1312225,1312439,1312592,1312786,1313034,1313508,1313731,1314300,1314823,1315403,1315519,1323176,1324580,	1311924,1312147,1312368,1312501,1312700,1312949,1313124,1313592,1313921,1314365,1314962,1315438,1315614,1323287,1324687,
INTS11	NM_001256463	chr1	-	1311599	1324660	1311858	1324608	15	1311599,1312017,1312225,1312439,1312592,1312786,1313034,1313508,1313731,1314300,1314823,1315403,1315519,1320995,1324580,	1311924,1312147,1312368,1312501,1312700,1312949,1313124,1313592,1313921,1314365,1314962,1315438,1315618,1321093,1324660,
INTS11	NM_017871	chr1	-	1311599	1324660	1311858	1324608	17	1311599,1312017,1312225,1312439,1312592,1312786,1313034,1313508,1313731,1314300,1314823,1315403,1315519,1319295,1320455,1320995,1324580,	1311924,1312147,1312368,1312501,1312700,1312949,1313124,1313592,1313921,1314365,1314962,1315438,1315618,1319524,1320529,1321093,1324660,
CPTP	NM_001029885	chr1	+	1324801	1328896	1326910	1327763	3	1324801,1326835,1327240,	1325102,1327032,1328896,
TAS1R3	NM_152228	chr1	+	1331279	1335314	1331345	1334464	6	1331279,1331637,1332023,1332920,1333258,1333505,	1331536,1331938,1332806,1333124,1333379,1335314,
DVL1	NM_001330311	chr1	-	1335277	1349418	1336141	1349065	15	1335277,1337976,1338268,1338521,1339286,1339581,1339735,1340037,1340246,1340409,1341666,1342052,1342362,1342688,1348895,	1336515,1338183,1338436,1338653,1339439,1339649,1339812,1340177,1340316,1340503,1341805,1342156,1342484,1342758,1349418,
DVL1	NM_004421	chr1	-	1335277	1349418	1336141	1349065	15	1335277,1337976,1338268,1338521,1339361,1339581,1339735,1340037,1340246,1340409,1341666,1342052,1342362,1342688,1348895,	1336515,1338183,1338436,1338653,1339439,1339649,1339812,1340177,1340316,1340503,1341805,1342156,1342484,1342758,1349418,
MXRA8	NM_001282582	chr1	-	1352688	1363541	1353603	1358504	11	1352688,1353847,1354029,1354192,1354353,1354681,1355243,1355449,1356680,1358455,1363516,	1353629,1353928,1354106,1354232,1354509,1355152,1355345,1355752,1356704,1358547,1363541,
MXRA8	NM_001282584	chr1	-	1352688	1358794	1353603	1358504	9	1352688,1353847,1354029,1354192,1354353,1354681,1355243,1356680,1358455,	1353629,1353928,1354106,1354232,1354509,1355152,1355345,1356704,1358794,
MXRA8	NM_001282585	chr1	-	1352688	1358547	1353300	1358504	10	1352688,1353847,1354029,1354192,1354353,1354681,1355243,1355449,1356680,1358455,	1353332,1353946,1354106,1354232,1354509,1355152,1355345,1355752,1356704,1358547,
MXRA8	NM_001282583	chr1	-	1352690	1361799	1353603	1361263	10	1352690,1353847,1354029,1354192,1354353,1354681,1355243,1355449,1356680,1361241,	1353629,1353928,1354106,1354232,1354509,1355152,1355345,1355752,1356704,1361799,
MXRA8	NM_032348	chr1	-	1352690	1358555	1353603	1358504	10	1352690,1353847,1354029,1354192,1354353,1354681,1355243,1355449,1356680,1358455,	1353629,1353928,1354106,1354232,1354509,1355152,1355345,1355752,1356704,1358555,
AURKAIP1	NM_001127229	chr1	-	1373735	1375207	1373800	1374756	4	1373735,1373999,1374704,1374996,	1373902,1374445,1374790,1375207,
AURKAIP1	NM_001127230	chr1	-	1373735	1375207	1373800	1374756	4	1373735,1373999,1374704,1375074,	1373902,1374445,1374790,1375207,
AURKAIP1	NM_017900	chr1	-	1373735	1375207	1373800	1374756	4	1373735,1373999,1374704,1375153,	1373902,1374445,1374790,1375207,
CCNL2	NM_030937	chr1	-	1385710	1399335	1387230	1399306	11	1385710,1387776,1387953,1390229,1390458,1390765,1393395,1395393,1398232,1398596,1399018,	1387582,1387869,1388065,1390371,1390563,1390865,1393460,1395514,1398342,1398671,1399335,
CCNL2	NM_001039577	chr1	-	1392287	1399342	1392781	1399306	6	1392287,1393395,1395393,1398232,1398596,1399018,	1392803,1393460,1395514,1398342,1398671,1399342,
MRPL20	NM_017971	chr1	-	1401908	1407293	1402082	1407217	4	1401908,1405808,1406908,1407130,	1402256,1405886,1407019,1407293,
ANKRD65	NM_001145210	chr1	-	1418419	1421444	1419099	1421005	4	1418419,1420051,1420796,1421132,	1419549,1420592,1421005,1421444,
ANKRD65	NM_001243535	chr1	-	1418419	1421276	1419233	1421005	3	1418419,1420796,1421132,	1419549,1421005,1421276,
ANKRD65	NM_001243536	chr1	-	1418419	1421276	1419541	1421005	3	1418419,1420815,1421132,	1419549,1421005,1421276,
TMEM88B	NM_001146685	chr1	+	1426127	1427787	1426127	1427787	2	1426127,1427553,	1426385,1427787,
VWA1	NM_022834	chr1	+	1435689	1442882	1435748	1439787	3	1435689,1436926,1439080,	1435821,1437484,1442882,
VWA1	NM_199121	chr1	+	1435689	1442882	1435748	1437443	3	1435689,1437321,1439080,	1435821,1437484,1442882,
ATAD3C	NM_001039211	chr1	+	1449688	1470162	1450683	1468530	12	1449688,1452045,1452364,1454344,1455459,1455790,1456224,1457128,1459160,1460749,1462599,1468383,	1450758,1452122,1452434,1454500,1455519,1455916,1456349,1457180,1459231,1460917,1462708,1470162,
ATAD3B	NM_031921	chr1	+	1471764	1497848	1471884	1495817	16	1471764,1477273,1478643,1479048,1480866,1482137,1482544,1485015,1485781,1486109,1486543,1487862,1489203,1490256,1490562,1495484,	1472089,1477350,1478745,1479108,1480936,1482303,1482614,1485171,1485838,1486235,1486668,1487914,1489274,1490424,1490671,1497848,
ATAD3A	NM_001170535	chr1	+	1512161	1534685	1512268	1534072	16	1512161,1516011,1517310,1517715,1518920,1520140,1520547,1522743,1523510,1523838,1524272,1525239,1526460,1527694,1529222,1533925,	1512473,1516088,1517412,1517775,1518990,1520306,1520617,1522899,1523567,1523964,1524397,1525291,1526531,1527862,1529331,1534685,
ATAD3A	NM_018188	chr1	+	1512161	1534685	1512268	1534072	16	1512161,1516011,1517166,1517715,1518920,1520140,1520547,1522743,1523510,1523838,1524272,1525239,1526460,1527694,1529222,1533925,	1512473,1516088,1517412,1517775,1518990,1520306,1520617,1522899,1523567,1523964,1524397,1525291,1526531,1527862,1529331,1534685,
ATAD3A	NM_001170536	chr1	+	1512529	1534687	1516043	1534072	16	1512529,1516011,1517310,1517715,1518920,1520140,1520547,1522743,1523510,1523838,1524272,1525239,1526460,1527694,1529222,1533925,	1512690,1516088,1517412,1517775,1518990,1520306,1520617,1522899,1523567,1523964,1524397,1525291,1526531,1527862,1529331,1534687,
TMEM240	NM_001114748	chr1	-	1534777	1540624	1535358	1540346	4	1534777,1535588,1539683,1540289,	1535507,1535797,1539790,1540624,
SSU72	NM_014188	chr1	-	1541672	1574863	1542065	1574557	5	1541672,1543868,1544862,1564772,1574477,	1542167,1543987,1545002,1564916,1574863,
FNDC10	NM_001242659	chr1	-	1598011	1600135	1599334	1600015	1	1598011,	1600135,
MIB2	NM_001170688	chr1	+	1615414	1630610	1615459	1630530	19	1615414,1616507,1623388,1623773,1624794,1625285,1625545,1626649,1626836,1627073,1627295,1627672,1628018,1628272,1628488,1629132,1629384,1629638,1630291,	1615633,1616614,1623699,1623945,1624901,1625428,1625653,1626754,1626999,1627207,1627444,1627829,1628179,1628399,1628722,1629311,1629566,1629704,1630610,
MIB2	NM_001170686	chr1	+	1615499	1630605	1615630	1630530	20	1615499,1616507,1623388,1623773,1624794,1624990,1625285,1625557,1626649,1626836,1627073,1627295,1627672,1628018,1628272,1628488,1629132,1629384,1629638,1630291,	1615633,1616614,1623699,1623945,1624901,1625185,1625428,1625653,1626754,1626999,1627207,1627444,1627829,1628179,1628399,1628722,1629311,1629566,1629704,1630605,
MIB2	NM_001170687	chr1	+	1615499	1630605	1615630	1630530	20	1615499,1616507,1623430,1623773,1624794,1624990,1625285,1625545,1626649,1626836,1627073,1627295,1627672,1628018,1628272,1628488,1629132,1629384,1629638,1630291,	1615633,1616614,1623699,1623945,1624901,1625185,1625428,1625653,1626754,1626999,1627207,1627444,1627829,1628179,1628399,1628722,1629311,1629566,1629704,1630605,
MIB2	NM_080875	chr1	+	1615499	1630605	1615630	1630530	20	1615499,1616507,1623388,1623773,1624794,1624990,1625285,1625545,1626649,1626836,1627073,1627295,1627672,1628018,1628272,1628488,1629132,1629384,1629638,1630291,	1615633,1616614,1623699,1623945,1624901,1625185,1625428,1625653,1626754,1626999,1627207,1627444,1627829,1628179,1628399,1628722,1629311,1629566,1629704,1630605,
MIB2	NM_001170689	chr1	+	1615854	1630605	1623452	1630301	18	1615854,1616507,1623430,1623773,1624794,1625285,1625545,1626649,1626836,1627073,1627295,1627672,1628018,1628272,1628488,1629132,1629638,1630291,	1616100,1616614,1623699,1623945,1624901,1625428,1625653,1626754,1626999,1627207,1627444,1627829,1628179,1628399,1628722,1629311,1629704,1630605,
MMP23B	NM_006983	chr1	+	1632172	1634654	1632218	1634625	8	1632172,1632782,1632980,1633187,1633747,1633988,1634201,1634450,	1632374,1632913,1633120,1633355,1633912,1634099,1634328,1634654,
CDK11B	NM_001787	chr1	-	1635224	1659004	1635763	1657485	20	1635224,1635936,1636332,1636681,1636896,1637080,1637407,1637761,1638499,1640276,1641047,1641661,1641905,1642346,1645125,1649498,1652438,1655368,1657374,1658913,	1635856,1636126,1636481,1636798,1637004,1637202,1637513,1637883,1638590,1640452,1641113,1641820,1642001,1642508,1645262,1649637,1652566,1655484,1657498,1659004,
CDK11B	NM_033486	chr1	-	1635224	1659004	1635763	1657485	20	1635224,1635936,1636332,1636681,1636896,1637080,1637407,1637761,1638499,1640276,1641047,1641661,1641905,1642385,1645125,1649498,1652438,1655368,1657374,1658913,	1635856,1636126,1636481,1636798,1637004,1637202,1637513,1637883,1638590,1640452,1641113,1641820,1642001,1642508,1645262,1649637,1652566,1655484,1657498,1659004,
CDK11B	NM_033489	chr1	-	1635224	1659004	1635763	1657264	21	1635224,1635936,1636332,1636681,1636896,1637080,1637407,1637761,1638499,1640276,1641047,1641661,1641905,1642385,1645125,1649498,1652438,1655368,1657255,1657374,1658913,	1635856,1636126,1636481,1636798,1637004,1637202,1637513,1637883,1638590,1640452,1641113,1641820,1642001,1642508,1645262,1649637,1652566,1655484,1657302,1657498,1659004,
SLC35E2B	NM_001110781	chr1	-	1661477	1692795	1665781	1676699	9	1661477,1668326,1669663,1670097,1671508,1675462,1676063,1676377,1692448,	1666019,1668472,1669736,1670151,1671629,1675590,1676199,1676846,1692795,
SLC35E2B	NM_001290264	chr1	-	1661477	1692795	1665781	1676699	10	1661477,1668326,1669663,1670097,1671508,1675462,1676063,1676377,1690975,1692448,	1666019,1668472,1669736,1670151,1671629,1675590,1676199,1676846,1691393,1692795,
CDK11A	NM_001313896	chr1	-	1702378	1724357	1702906	1722818	20	1702378,1703079,1703475,1703823,1704038,1704222,1704549,1704903,1705641,1707408,1708179,1708793,1709037,1709478,1712263,1716345,1719357,1721595,1722707,1724257,	1702999,1703269,1703624,1703940,1704146,1704344,1704655,1705025,1705732,1707584,1708245,1708952,1709133,1709640,1712400,1716478,1719455,1721711,1722831,1724357,
CDK11A	NM_001313982	chr1	-	1702378	1724357	1702906	1722818	20	1702378,1703079,1703475,1703823,1704038,1704222,1704549,1704903,1705641,1707408,1708179,1708793,1709037,1709517,1712263,1716345,1719357,1721595,1722707,1724257,	1702999,1703269,1703624,1703940,1704146,1704344,1704655,1705025,1705732,1707584,1708245,1708952,1709133,1709640,1712427,1716478,1719455,1721711,1722831,1724357,
CDK11A	NM_024011	chr1	-	1702378	1724357	1702906	1722818	20	1702378,1703079,1703475,1703823,1704038,1704222,1704549,1704903,1705641,1707408,1708179,1708793,1709037,1709517,1712263,1716345,1719327,1721595,1722707,1724257,	1702999,1703269,1703624,1703940,1704146,1704344,1704655,1705025,1705732,1707584,1708245,1708952,1709133,1709640,1712400,1716478,1719455,1721711,1722831,1724357,
CDK11A	NM_033529	chr1	-	1702378	1724357	1702906	1722818	20	1702378,1703079,1703475,1703823,1704038,1704222,1704549,1704903,1705641,1707408,1708179,1708793,1709037,1709517,1712263,1716345,1719357,1721595,1722707,1724257,	1702999,1703269,1703624,1703940,1704146,1704344,1704655,1705025,1705732,1707584,1708245,1708952,1709133,1709640,1712400,1716478,1719455,1721711,1722831,1724357,
SLC35E2A	NM_001199787	chr1	-	1724837	1745999	1725413	1739557	7	1724837,1734689,1738320,1738921,1739235,1744250,1745723,	1725422,1734835,1738448,1739057,1739704,1744668,1745999,
SLC35E2A	NM_182838	chr1	-	1727384	1745999	1732454	1739557	6	1727384,1734689,1738320,1738921,1739235,1745723,	1732523,1734835,1738448,1739057,1739704,1745999,
NADK	NM_001198993	chr1	-	1751231	1778816	1752903	1765406	12	1751231,1753566,1754050,1754283,1754543,1755373,1756257,1756502,1757180,1761951,1765227,1778745,	1753060,1753649,1754208,1754383,1754698,1755476,1756343,1756608,1757310,1762035,1765446,1778816,
NADK	NM_001198994	chr1	-	1751231	1780031	1752903	1765406	14	1751231,1753566,1754050,1754283,1754543,1755373,1756257,1756502,1757106,1759100,1759733,1761951,1765227,1779904,	1753060,1753649,1754208,1754383,1754698,1755476,1756343,1756657,1757310,1759243,1759902,1762035,1765446,1780031,
NADK	NM_001198995	chr1	-	1751231	1758642	1752903	1758531	10	1751231,1753566,1754050,1754283,1754543,1755373,1756257,1756502,1757180,1758364,	1753060,1753649,1754208,1754383,1754698,1755476,1756343,1756608,1757310,1758642,
NADK	NM_023018	chr1	-	1751231	1778470	1752903	1765406	12	1751231,1753566,1754050,1754283,1754543,1755373,1756257,1756502,1757180,1761951,1765227,1778288,	1753060,1753649,1754208,1754383,1754698,1755476,1756343,1756608,1757310,1762035,1765446,1778470,
GNB1	NM_001282538	chr1	-	1785284	1891117	1787330	1804548	10	1785284,1787321,1789052,1790394,1793244,1804418,1806474,1825396,1839189,1890819,	1787053,1787437,1789269,1790596,1793311,1804581,1806538,1825499,1839238,1891117,
GNB1	NM_001282539	chr1	-	1785284	1891117	1787330	1825453	11	1785284,1787321,1789052,1790394,1793244,1804418,1806474,1815755,1817836,1825396,1890819,	1787053,1787437,1789269,1790596,1793311,1804581,1806538,1815862,1817875,1825499,1891117,
GNB1	NM_002074	chr1	-	1785285	1891087	1787330	1825453	12	1785285,1787321,1789052,1790394,1793244,1804418,1806474,1815755,1817836,1825396,1839189,1890819,	1787053,1787437,1789269,1790596,1793311,1804581,1806538,1815862,1817875,1825499,1839238,1891087,
CALML6	NM_001330313	chr1	+	1915259	1917296	1915280	1917193	5	1915259,1916440,1916751,1916973,1917146,	1915307,1916615,1916896,1917074,1917296,
CALML6	NM_138705	chr1	+	1915259	1917296	1915280	1917193	6	1915259,1915684,1916440,1916751,1916973,1917146,	1915307,1915735,1916615,1916896,1917074,1917296,
TMEM52	NM_178545	chr1	-	1917590	1919279	1917881	1919265	5	1917590,1918252,1918892,1919044,1919181,	1918162,1918431,1918934,1919088,1919279,
GABRD	NM_000815	chr1	+	2019344	2030758	2019423	2030282	9	2019344,2024941,2025333,2025517,2027576,2028154,2029110,2029550,2029982,	2019491,2025054,2025401,2025738,2027659,2028292,2029266,2029762,2030758,
PRKCZ	NM_002744	chr1	+	2050410	2185395	2050630	2185009	18	2050410,2055440,2056483,2059540,2135261,2144209,2146026,2148871,2150789,2155994,2169517,2172054,2172300,2173896,2174753,2175223,2184582,2184921,	2050701,2055562,2056573,2059591,2135347,2144341,2146108,2148924,2150978,2156092,2169604,2172190,2172388,2174016,2174833,2175313,2184698,2185395,
PRKCZ	NM_001033581	chr1	+	2073461	2185399	2144338	2185009	15	2073461,2135261,2144209,2146026,2148871,2150789,2155994,2169517,2172054,2172300,2173896,2174753,2175223,2184582,2184921,	2073929,2135347,2144341,2146108,2148924,2150978,2156092,2169604,2172190,2172388,2174016,2174833,2175313,2184698,2185399,
PRKCZ	NM_001242874	chr1	+	2073985	2185399	2074253	2185009	15	2073985,2135261,2144209,2146026,2148871,2150789,2155994,2169517,2172054,2172300,2173896,2174753,2175223,2184582,2184921,	2074275,2135347,2144341,2146108,2148924,2150978,2156092,2169604,2172190,2172388,2174016,2174833,2175313,2184698,2185399,
PRKCZ	NM_001033582	chr1	+	2104715	2185399	2144338	2185009	15	2104715,2135261,2144209,2146026,2148871,2150789,2155994,2169517,2172054,2172300,2173896,2174753,2175223,2184582,2184921,	2104895,2135347,2144341,2146108,2148924,2150978,2156092,2169604,2172190,2172388,2174016,2174833,2175313,2184698,2185399,
FAAP20	NM_001256945	chr1	-	2184459	2194775	2185277	2194749	3	2184459,2193638,2194687,	2185513,2193910,2194775,
FAAP20	NM_001282673	chr1	-	2184459	2194775	2185470	2194749	4	2184459,2193638,2193997,2194687,	2185513,2193910,2194133,2194775,
FAAP20	NM_001256947	chr1	-	2189548	2194775	2189776	2194749	3	2189548,2193638,2194687,	2189781,2193910,2194775,
FAAP20	NM_182533	chr1	-	2189548	2194772	2189708	2194749	4	2189548,2193638,2193997,2194687,	2189781,2193910,2194133,2194772,
SKI	NM_003036	chr1	+	2228318	2310213	2228766	2306765	7	2228318,2302977,2303284,2303839,2304292,2306019,2306576,	2229735,2303103,2303400,2304102,2304585,2306250,2310213,
MORN1	NM_024848	chr1	-	2321252	2391554	2321382	2391533	14	2321252,2324096,2336468,2336716,2357431,2358591,2372480,2374460,2384977,2385806,2387418,2388238,2389924,2391457,	2321579,2324143,2336548,2336850,2357598,2358715,2372591,2374557,2385065,2385897,2387529,2388337,2389996,2391554,
MORN1	NM_001301060	chr1	-	2355154	2391554	2355447	2391533	11	2355154,2357431,2358591,2372480,2374460,2384977,2385806,2387418,2388238,2389924,2391457,	2355464,2357598,2358715,2372591,2374557,2385065,2385897,2387529,2388337,2389996,2391554,
RER1	NM_007033	chr1	+	2391840	2405436	2395790	2403124	7	2391840,2395783,2397115,2399414,2400856,2402206,2403034,	2391958,2395871,2397220,2399514,2400935,2402342,2405436,
PEX10	NM_002617	chr1	-	2403973	2412564	2405765	2412502	6	2403973,2406483,2406719,2408451,2410370,2412390,	2405834,2406619,2406895,2408858,2410451,2412564,
PEX10	NM_153818	chr1	-	2403973	2412564	2405765	2412502	6	2403973,2406483,2406719,2408451,2410370,2412390,	2405834,2406619,2406955,2408858,2410451,2412564,
PLCH2	NM_014638	chr1	+	2476288	2505532	2476588	2505213	22	2476288,2478475,2479733,2480182,2484447,2486906,2487172,2487597,2489206,2489759,2491191,2494855,2495487,2496606,2496827,2497501,2498522,2498743,2499083,2499640,2502111,2503921,	2476712,2478622,2479977,2480312,2484618,2487000,2487376,2487718,2489378,2489867,2491335,2494948,2495570,2496704,2497010,2497609,2498647,2498828,2499230,2499720,2502409,2505532,
PANK4	NM_018216	chr1	-	2508536	2526596	2508846	2526587	19	2508536,2509861,2510056,2510677,2511337,2511627,2512887,2514001,2514353,2515561,2518163,2518515,2519142,2519800,2520321,2520722,2521100,2521717,2526463,	2509060,2509930,2510157,2510782,2511387,2511683,2513039,2514089,2514466,2515717,2518264,2518597,2519324,2519954,2520414,2520906,2521315,2521800,2526596,
HES5	NM_001010926	chr1	-	2528744	2530263	2529468	2530164	3	2528744,2529845,2530110,	2529749,2530011,2530263,
TNFRSF14	NM_003820	chr1	+	2556364	2565622	2556664	2563273	8	2556364,2557725,2558342,2559822,2560623,2561672,2562864,2563147,	2556733,2557834,2558468,2559978,2560714,2561815,2562896,2565622,
PRXL2B	NM_001195736	chr1	+	2586776	2591468	2586885	2589427	7	2586776,2587090,2587740,2588335,2588549,2588921,2589409,	2586948,2587295,2587792,2588453,2588625,2589040,2591468,
PRXL2B	NM_001195740	chr1	+	2586776	2591468	2586885	2589427	6	2586776,2587090,2587740,2588389,2588953,2589409,	2586948,2587295,2587792,2588453,2589040,2591468,
